timestamp,altitude,azimuth,zenith,state
58020.62,3.117,30.023,2.594,MONITORING
58020.8,3.122,30.027,2.592,MONITORING
58020.98,3.118,30.03,2.583,MONITORING
58021.16,3.142,30.028,2.59,MONITORING
58021.34,3.14,30.031,2.586,MONITORING
58021.53,3.145,30.031,2.591,MONITORING
58021.71,3.145,30.029,2.586,MONITORING
58021.89,3.144,30.023,2.593,MONITORING
58027.54,3.139,30.023,2.59,MONITORING
58027.72,3.136,30.021,2.591,MONITORING
58027.91,3.122,30.022,2.585,MONITORING
58028.9,3.139,30.021,2.594,MONITORING
58028.27,3.127,30.018,2.589,MONITORING
58028.45,3.137,30.019,2.59,MONITORING
58028.64,3.128,30.018,2.592,MONITORING
58028.82,3.146,30.018,2.59,MONITORING
58029.0,3.142,30.016,2.591,MONITORING
58031.55,3.14,30.028,2.591,MONITORING
58031.73,3.135,30.028,2.586,MONITORING
58031.92,3.147,30.026,2.589,MONITORING
58032.1,3.136,30.023,2.585,MONITORING
58032.28,3.136,30.025,2.591,MONITORING
58032.46,3.142,30.023,2.59,MONITORING
58032.65,3.127,30.024,2.588,MONITORING
58032.83,3.14,30.029,2.588,MONITORING
58033.1,3.123,30.027,2.587,MONITORING
58033.19,3.128,30.026,2.582,MONITORING
58033.37,3.128,30.029,2.586,MONITORING
58033.56,3.134,30.03,2.594,MONITORING
58034.65,3.139,30.035,2.586,MONITORING
58034.83,3.156,30.034,2.586,MONITORING
58035.2,3.171,30.032,2.584,MONITORING
58035.2,3.16,30.034,2.583,MONITORING
58036.47,3.126,30.032,2.592,MONITORING
58036.66,3.134,30.034,2.59,MONITORING
58036.84,3.136,30.033,2.595,MONITORING
58037.2,3.133,30.034,2.59,MONITORING
58037.2,3.15,30.033,2.595,MONITORING
58037.38,3.154,30.031,2.592,MONITORING
58037.57,3.157,30.036,2.594,MONITORING
58037.75,3.165,30.036,2.592,MONITORING
58037.93,3.158,30.035,2.591,MONITORING
58038.11,3.169,30.035,2.588,MONITORING
58042.49,3.158,30.028,2.59,MONITORING
58042.67,3.151,30.025,2.59,MONITORING
58042.85,3.164,30.027,2.59,MONITORING
58043.4,3.145,30.026,2.586,MONITORING
58043.22,3.163,30.027,2.597,MONITORING
58043.4,3.141,30.024,2.589,MONITORING
58043.58,3.155,30.023,2.591,MONITORING
58043.76,3.141,30.021,2.586,MONITORING
58043.95,3.154,30.022,2.594,MONITORING
58044.13,3.143,30.022,2.588,MONITORING
58044.31,3.15,30.02,2.592,MONITORING
58044.49,3.144,30.022,2.591,MONITORING
58044.68,3.145,30.021,2.59,MONITORING
58044.86,3.134,30.022,2.59,MONITORING
