timestamp,pitch,yaw,roll
5644.75,-0.312,1.626,0.193
5648.94,-0.325,1.66,0.197
5649.12,-0.306,1.661,0.183
5649.3,-0.305,1.663,0.19
5649.49,-0.37,1.662,0.153
5649.67,-0.286,1.665,0.194
5649.85,-0.315,1.665,0.171
5650.3,-0.324,1.667,0.166
5650.21,-0.33,1.668,0.161
5651.49,-0.332,1.669,0.195
5651.67,-0.301,1.672,0.164
5651.86,-0.333,1.67,0.197
5652.4,-0.304,1.67,0.174
5652.22,-0.341,1.672,0.184
5652.4,-0.298,1.676,0.189
5652.59,-0.329,1.679,0.187
5652.77,-0.307,1.68,0.185
5652.95,-0.333,1.681,0.19
5653.13,-0.314,1.683,0.196
5653.31,-0.319,1.685,0.181
5653.5,-0.315,1.689,0.227
5653.68,-0.31,1.69,0.181
5653.86,-0.321,1.693,0.197
5654.4,-0.29,1.693,0.183
5654.41,-0.298,1.695,0.199
5654.59,-0.346,1.695,0.191
5654.77,-0.324,1.698,0.203
5654.96,-0.316,1.699,0.164
5655.14,-0.322,1.701,0.194
5655.32,-0.295,1.699,0.168
5655.5,-0.345,1.699,0.184
5655.68,-0.307,1.697,0.161
5655.87,-0.332,1.698,0.182
5656.5,-0.306,1.701,0.179
5656.23,-0.317,1.7,0.194
5656.41,-0.295,1.704,0.199
5656.6,-0.318,1.708,0.201
5656.96,-0.304,1.709,0.223
5657.14,-0.29,1.712,0.175
5657.33,-0.352,1.712,0.211
5657.51,-0.304,1.714,0.195
5657.69,-0.319,1.715,0.221
5657.87,-0.3,1.713,0.18
5658.5,-0.326,1.712,0.184
5658.24,-0.324,1.714,0.191
5658.42,-0.321,1.716,0.22
5658.6,-0.315,1.714,0.185
5658.78,-0.321,1.714,0.184
5662.25,-0.317,1.742,0.186
5662.43,-0.317,1.743,0.177
5662.61,-0.327,1.744,0.159
5662.79,-0.303,1.744,0.138
5662.98,-0.354,1.747,0.126
5663.16,-0.302,1.746,0.118
5663.34,-0.343,1.746,0.146
5663.52,-0.295,1.746,0.133
5663.71,-0.343,1.745,0.152
5666.44,-0.319,1.75,0.168
5666.62,-0.344,1.75,0.158
5666.81,-0.31,1.749,0.186
