timestamp,pitch,yaw,roll
58020.62,-3.434,30.023,1.302
58020.8,-3.441,30.027,1.296
58020.98,-3.439,30.03,1.283
58021.16,-3.463,30.028,1.29
58021.34,-3.462,30.031,1.283
58021.53,-3.465,30.031,1.292
58021.71,-3.467,30.029,1.285
58027.54,-3.46,30.023,1.29
58027.72,-3.455,30.021,1.29
58027.91,-3.442,30.022,1.285
58028.9,-3.459,30.021,1.299
58028.27,-3.446,30.018,1.293
58028.45,-3.457,30.019,1.288
58028.64,-3.446,30.018,1.299
58028.82,-3.468,30.018,1.29
58031.55,-3.461,30.028,1.291
58031.73,-3.456,30.028,1.283
58031.92,-3.47,30.026,1.285
58032.1,-3.457,30.023,1.283
58032.28,-3.456,30.025,1.291
58032.46,-3.464,30.023,1.287
58032.65,-3.447,30.024,1.292
58032.83,-3.461,30.029,1.283
58033.1,-3.443,30.027,1.287
58033.19,-3.449,30.026,1.275
58033.37,-3.448,30.029,1.28
58033.56,-3.453,30.03,1.301
58034.47,-3.457,30.037,1.289
58034.65,-3.46,30.035,1.284
58034.83,-3.48,30.034,1.278
58035.2,-3.495,30.032,1.278
58036.47,-3.445,30.032,1.292
58036.66,-3.454,30.034,1.293
58036.84,-3.457,30.033,1.294
58037.2,-3.452,30.034,1.296
58037.2,-3.471,30.033,1.3
58037.38,-3.476,30.031,1.294
58037.57,-3.48,30.036,1.295
58037.75,-3.487,30.036,1.295
58037.93,-3.48,30.035,1.291
58042.49,-3.481,30.028,1.292
58042.67,-3.473,30.025,1.289
58042.85,-3.487,30.027,1.288
58043.4,-3.466,30.026,1.288
58043.22,-3.484,30.027,1.303
58043.4,-3.462,30.024,1.289
58043.58,-3.477,30.023,1.292
58043.76,-3.463,30.021,1.282
58043.95,-3.474,30.022,1.297
58044.13,-3.465,30.022,1.289
58044.31,-3.472,30.02,1.292
58044.49,-3.466,30.022,1.292
58044.68,-3.467,30.021,1.29
58044.86,-3.455,30.022,1.291
58045.4,-3.463,30.019,1.296
58045.22,-3.46,30.015,1.284
58045.41,-3.471,30.017,1.298
58045.59,-3.468,30.016,1.285
58045.77,-3.462,30.011,1.298
58045.95,-3.459,30.014,1.298
58046.13,-3.452,30.016,1.288
58046.32,-3.435,30.018,1.302
58046.5,-3.441,30.02,1.298
58046.68,-3.434,30.022,1.291
58047.59,-3.438,30.032,1.298
58047.77,-3.442,30.03,1.287
58047.96,-3.448,30.034,1.295
58048.14,-3.436,30.031,1.297
58048.32,-3.448,30.03,1.3
58048.5,-3.432,30.034,1.301
58048.69,-3.442,30.035,1.295
58048.87,-3.426,30.036,1.305
58049.5,-3.431,30.033,1.304
58049.23,-3.424,30.03,1.306
58049.42,-3.431,30.028,1.307
58049.6,-3.429,30.028,1.297
58049.78,-3.424,30.028,1.296
58049.96,-3.437,30.028,1.295
58051.42,-3.461,30.025,1.283
58051.6,-3.455,30.025,1.295
58051.79,-3.465,30.027,1.28
58051.97,-3.469,30.027,1.295
58052.15,-3.473,30.024,1.282
58052.33,-3.487,30.025,1.285
58052.51,-3.478,30.026,1.283
58052.7,-3.472,30.029,1.283
58052.88,-3.46,30.032,1.289
58053.6,-3.458,30.032,1.289
58053.24,-3.46,30.029,1.289
58053.43,-3.455,30.029,1.293
58053.61,-3.441,30.03,1.293
58054.7,-3.457,30.03,1.282
58054.88,-3.463,30.034,1.298
58055.7,-3.453,30.032,1.284
58055.25,-3.452,30.031,1.295
58055.43,-3.448,30.035,1.291
58055.61,-3.451,30.038,1.29
58055.8,-3.478,30.039,1.275
58055.98,-3.471,30.035,1.28
58056.16,-3.439,30.034,1.296
58056.34,-3.471,30.034,1.288
58056.52,-3.464,30.035,1.273
58056.71,-3.483,30.033,1.288
58056.89,-3.468,30.031,1.267
58057.7,-3.479,30.035,1.279
58057.25,-3.477,30.034,1.276
58057.44,-3.482,30.032,1.283
58057.62,-3.479,30.032,1.29
58057.8,-3.484,30.033,1.278
58057.98,-3.481,30.035,1.277
58058.17,-3.486,30.032,1.278
58058.35,-3.491,30.034,1.276
58058.53,-3.496,30.035,1.286
58058.71,-3.506,30.036,1.274
58064.18,-3.497,30.029,1.27
58064.36,-3.51,30.027,1.282
58064.54,-3.492,30.028,1.284
58064.73,-3.493,30.035,1.273
58064.91,-3.492,30.036,1.29
58065.9,-3.495,30.036,1.28
58065.27,-3.494,30.034,1.29
58065.46,-3.485,30.038,1.279
58065.64,-3.485,30.039,1.278
58065.82,-3.49,30.036,1.272
58066.0,-3.497,30.038,1.289
58066.19,-3.493,30.037,1.28
58066.37,-3.502,30.034,1.282
58066.55,-3.483,30.032,1.292
58066.73,-3.496,30.031,1.287
58066.91,-3.482,30.032,1.274
58067.1,-3.485,30.035,1.289
58067.28,-3.462,30.033,1.281
58067.46,-3.473,30.033,1.281
58067.64,-3.464,30.033,1.285
58067.83,-3.475,30.032,1.292
58068.1,-3.468,30.029,1.284
58068.19,-3.486,30.027,1.296
58068.37,-3.476,30.026,1.289
58068.56,-3.498,30.024,1.29
58068.74,-3.489,30.026,1.282
58068.92,-3.513,30.027,1.28
58069.1,-3.511,30.028,1.29
58069.28,-3.518,30.027,1.281
58069.47,-3.508,30.031,1.271
58069.65,-3.502,30.032,1.284
58069.83,-3.495,30.034,1.284
58070.1,-3.5,30.037,1.283
58070.2,-3.493,30.037,1.296
58070.38,-3.497,30.037,1.286
58070.56,-3.499,30.034,1.293
58070.74,-3.519,30.036,1.277
58070.93,-3.51,30.036,1.278
58071.11,-3.518,30.037,1.273
58071.29,-3.499,30.035,1.271
58072.93,-3.507,30.036,1.271
58073.11,-3.505,30.036,1.281
58073.3,-3.504,30.035,1.279
58073.48,-3.511,30.035,1.272
58073.66,-3.511,30.035,1.277
58073.84,-3.499,30.039,1.282
58074.2,-3.503,30.04,1.277
58074.21,-3.479,30.043,1.285
58074.39,-3.472,30.042,1.27
58074.57,-3.472,30.038,1.285
58074.75,-3.479,30.037,1.288
58074.94,-3.473,30.038,1.289
58075.12,-3.492,30.036,1.29
58075.3,-3.498,30.036,1.279
58075.48,-3.511,30.038,1.287
58075.66,-3.509,30.038,1.287
58075.85,-3.504,30.04,1.285
58076.3,-3.496,30.042,1.278
58076.21,-3.488,30.04,1.281
58076.39,-3.484,30.039,1.274
58076.58,-3.489,30.042,1.287
58076.76,-3.495,30.044,1.279
58076.94,-3.532,30.042,1.273
58077.12,-3.509,30.043,1.287
58077.3,-3.526,30.042,1.266
58077.49,-3.526,30.047,1.279
58077.67,-3.548,30.043,1.266
58077.85,-3.553,30.041,1.261
58078.3,-3.563,30.034,1.257
58078.22,-3.509,29.912,1.188
58078.4,-3.466,29.777,1.134
58081.13,-3.509,28.051,1.239
58081.31,-3.508,28.044,1.266
58081.5,-3.507,28.041,1.294
58081.68,-3.498,28.036,1.308
58081.86,-3.488,28.036,1.309
58082.4,-3.48,28.037,1.313
58082.23,-3.473,28.036,1.315
58082.41,-3.454,28.039,1.313
58082.59,-3.459,28.038,1.331
58082.77,-3.448,28.04,1.32
58082.95,-3.453,28.042,1.328
58083.14,-3.45,28.037,1.333
58083.32,-3.439,28.037,1.333
