timestamp,pitch,yaw,roll
13.32,-4.858,0.259,10.48
13.51,-4.891,0.262,10.516
13.69,-4.855,0.261,10.466
13.87,-4.863,0.259,10.533
14.5,-4.868,0.259,10.523
14.24,-4.902,0.258,10.533
14.42,-4.862,0.258,10.517
14.6,-4.86,0.257,10.488
14.78,-4.852,0.257,10.473
14.97,-4.86,0.256,10.443
15.15,-4.848,0.253,10.454
15.33,-4.888,0.252,10.455
15.51,-4.862,0.249,10.462
15.69,-4.863,0.252,10.498
15.88,-4.908,0.248,10.52
16.6,-4.831,0.249,10.457
16.24,-4.89,0.245,10.488
16.42,-4.849,0.245,10.475
16.61,-4.87,0.245,10.465
16.79,-4.867,0.244,10.467
16.97,-4.898,0.244,10.476
17.15,-4.799,0.242,10.534
17.34,-4.9,0.242,10.471
17.52,-4.867,0.242,10.521
17.7,-4.869,0.245,10.469
17.88,-4.874,0.245,10.491
18.6,-4.868,0.245,10.504
18.25,-4.842,0.243,10.46
18.43,-4.905,0.243,10.512
18.61,-4.85,0.244,10.488
18.79,-4.895,0.242,10.502
18.98,-4.868,0.239,10.455
19.16,-4.877,0.239,10.523
19.34,-4.865,0.236,10.443
19.52,-4.902,0.236,10.527
19.71,-4.844,0.237,10.485
19.89,-4.899,0.238,10.528
20.7,-4.841,0.236,10.434
20.25,-4.886,0.232,10.502
20.43,-4.836,0.231,10.454
20.62,-4.913,0.229,10.556
20.8,-4.853,0.229,10.4
20.98,-4.87,0.231,10.576
21.16,-4.799,0.233,10.416
21.35,-4.945,0.227,10.495
22.62,-4.837,0.215,10.508
22.8,-4.842,0.22,10.498
22.99,-4.881,0.217,10.531
23.17,-4.86,0.216,10.484
23.35,-4.828,0.217,10.537
23.53,-4.898,0.214,10.492
23.72,-4.82,0.214,10.515
23.9,-4.887,0.211,10.491
24.8,-4.863,0.21,10.49
24.26,-4.877,0.207,10.471
27.73,-4.89,0.186,10.532
27.91,-4.83,0.185,10.534
28.9,-4.891,0.181,10.563
28.27,-4.845,0.18,10.529
28.46,-4.86,0.178,10.541
28.64,-4.868,0.178,10.491
28.82,-4.876,0.18,10.505
29.0,-4.85,0.182,10.483
29.19,-4.845,0.182,10.512
29.37,-4.863,0.18,10.484
29.55,-4.88,0.178,10.482
29.73,-4.849,0.178,10.443
29.92,-4.884,0.176,10.482
30.1,-4.85,0.177,10.457
30.28,-4.85,0.175,10.461
30.46,-4.869,0.17,10.476
30.64,-4.855,0.168,10.473
30.83,-4.865,0.168,10.464
31.1,-4.876,0.167,10.464
31.19,-4.868,0.167,10.464
31.37,-4.87,0.164,10.466
31.56,-4.848,0.164,10.449
31.74,-4.853,0.16,10.462
31.92,-4.875,0.159,10.438
32.1,-4.848,0.161,10.455
32.29,-4.86,0.16,10.465
32.47,-4.869,0.161,10.467
33.38,-4.851,0.154,10.508
33.56,-4.88,0.157,10.514
33.74,-4.869,0.157,10.51
33.93,-4.857,0.154,10.495
34.11,-4.863,0.153,10.509
34.29,-4.881,0.149,10.478
34.47,-4.86,0.147,10.486
34.66,-4.87,0.146,10.5
34.84,-4.865,0.146,10.494
35.2,-4.865,0.146,10.49
35.2,-4.882,0.144,10.457
35.38,-4.849,0.143,10.414
35.57,-4.863,0.14,10.418
35.75,-4.868,0.139,10.421
35.93,-4.87,0.135,10.433
36.11,-4.846,0.132,10.417
36.3,-4.888,0.128,10.436
36.48,-4.87,0.127,10.426
36.66,-4.876,0.128,10.423
36.84,-4.862,0.125,10.419
37.3,-4.879,0.121,10.439
37.21,-4.844,0.124,10.47
37.39,-4.869,0.123,10.464
37.57,-4.859,0.121,10.451
37.75,-4.849,0.123,10.455
37.94,-4.872,0.122,10.446
38.12,-4.854,0.119,10.439
38.3,-4.875,0.119,10.428
38.48,-4.862,0.116,10.452
38.67,-4.842,0.112,10.441
38.85,-4.886,0.11,10.435
39.3,-4.864,0.108,10.448
39.21,-4.869,0.105,10.448
39.39,-4.836,0.105,10.431
39.58,-4.895,0.1,10.459
39.76,-4.831,0.098,10.452
39.94,-4.898,0.098,10.458
40.12,-4.849,0.095,10.458
40.31,-4.851,0.093,10.468
