timestamp,pitch,yaw,roll
13.32,0.069,-0.259,-0.134
13.51,0.067,-0.261,-0.135
13.69,0.063,-0.261,-0.143
13.87,0.062,-0.258,-0.146
14.5,0.061,-0.259,-0.155
14.24,0.059,-0.258,-0.164
14.42,0.058,-0.258,-0.166
14.6,0.057,-0.257,-0.165
14.78,0.055,-0.257,-0.17
14.97,0.052,-0.256,-0.172
15.15,0.048,-0.253,-0.177
15.33,0.046,-0.252,-0.182
15.51,0.042,-0.25,-0.186
15.69,0.04,-0.251,-0.191
15.88,0.036,-0.248,-0.192
16.6,0.035,-0.249,-0.198
16.24,0.029,-0.245,-0.2
16.42,0.025,-0.245,-0.206
16.61,0.022,-0.245,-0.205
16.79,0.019,-0.244,-0.21
16.97,0.017,-0.244,-0.212
17.15,0.017,-0.242,-0.217
17.34,0.014,-0.242,-0.224
17.52,0.011,-0.242,-0.226
17.7,0.011,-0.245,-0.234
17.88,0.007,-0.244,-0.241
18.6,0.005,-0.245,-0.246
18.25,0.004,-0.243,-0.248
18.43,0.001,-0.243,-0.248
18.61,0.0,-0.244,-0.252
18.79,-0.004,-0.242,-0.255
18.98,-0.006,-0.239,-0.262
19.16,-0.004,-0.239,-0.261
19.34,-0.004,-0.236,-0.268
19.52,-0.006,-0.236,-0.274
19.71,-0.006,-0.237,-0.28
19.89,-0.01,-0.238,-0.284
20.7,-0.01,-0.236,-0.287
20.25,-0.014,-0.232,-0.287
20.43,-0.013,-0.231,-0.294
20.62,-0.018,-0.229,-0.291
20.8,-0.017,-0.23,-0.304
20.98,-0.021,-0.23,-0.299
21.16,-0.016,-0.234,-0.302
21.35,-0.026,-0.226,-0.305
22.62,-0.036,-0.215,-0.34
22.8,-0.04,-0.219,-0.338
22.99,-0.04,-0.217,-0.341
23.17,-0.04,-0.215,-0.345
23.35,-0.043,-0.217,-0.347
23.53,-0.048,-0.214,-0.355
23.72,-0.052,-0.213,-0.354
23.9,-0.051,-0.212,-0.362
24.8,-0.055,-0.21,-0.364
24.26,-0.058,-0.207,-0.37
27.73,-0.113,-0.186,-0.407
27.91,-0.113,-0.185,-0.41
28.9,-0.113,-0.181,-0.413
28.27,-0.114,-0.18,-0.415
28.46,-0.118,-0.178,-0.418
28.64,-0.12,-0.178,-0.419
28.82,-0.122,-0.18,-0.423
29.0,-0.123,-0.182,-0.43
29.19,-0.127,-0.182,-0.429
29.37,-0.128,-0.18,-0.432
29.55,-0.131,-0.178,-0.436
29.73,-0.133,-0.178,-0.437
29.92,-0.137,-0.176,-0.437
30.1,-0.138,-0.177,-0.442
30.28,-0.139,-0.174,-0.443
30.46,-0.142,-0.17,-0.447
30.64,-0.146,-0.168,-0.449
30.83,-0.146,-0.168,-0.454
31.1,-0.149,-0.167,-0.457
31.19,-0.152,-0.167,-0.46
31.37,-0.155,-0.164,-0.461
31.56,-0.157,-0.164,-0.464
31.74,-0.161,-0.16,-0.469
31.92,-0.163,-0.159,-0.471
32.1,-0.163,-0.161,-0.476
32.29,-0.164,-0.16,-0.482
32.47,-0.166,-0.161,-0.483
33.56,-0.182,-0.157,-0.507
33.74,-0.187,-0.157,-0.511
33.93,-0.187,-0.154,-0.515
34.11,-0.19,-0.153,-0.518
34.29,-0.192,-0.149,-0.521
34.47,-0.195,-0.147,-0.523
34.66,-0.199,-0.146,-0.524
34.84,-0.202,-0.146,-0.53
35.2,-0.202,-0.146,-0.532
35.2,-0.205,-0.144,-0.536
35.38,-0.208,-0.142,-0.538
35.57,-0.207,-0.14,-0.54
35.75,-0.208,-0.139,-0.543
35.93,-0.212,-0.135,-0.547
36.11,-0.216,-0.132,-0.552
36.3,-0.217,-0.128,-0.556
36.48,-0.219,-0.127,-0.556
36.66,-0.22,-0.128,-0.559
36.84,-0.223,-0.125,-0.561
37.3,-0.226,-0.121,-0.563
37.21,-0.227,-0.124,-0.563
37.39,-0.226,-0.123,-0.567
37.57,-0.225,-0.121,-0.566
37.75,-0.23,-0.123,-0.565
37.94,-0.234,-0.122,-0.57
38.12,-0.235,-0.12,-0.568
38.3,-0.239,-0.119,-0.569
38.48,-0.242,-0.116,-0.575
38.67,-0.24,-0.112,-0.574
38.85,-0.243,-0.11,-0.578
39.3,-0.244,-0.108,-0.582
39.21,-0.247,-0.105,-0.585
39.39,-0.245,-0.104,-0.592
39.58,-0.25,-0.1,-0.596
39.76,-0.25,-0.098,-0.605
39.94,-0.255,-0.098,-0.607
40.12,-0.257,-0.095,-0.611
40.31,-0.261,-0.093,-0.611
