timestamp,bias_x,bias_y,bias_z
5644.75,0.426,-0.549,-0.73
5644.93,0.426,-0.549,-0.73
5649.12,0.428,-0.543,-0.735
5649.3,0.428,-0.543,-0.735
5649.49,0.425,-0.545,-0.737
5649.67,0.425,-0.545,-0.737
5649.85,0.425,-0.545,-0.737
5650.3,0.425,-0.545,-0.737
5650.21,0.425,-0.545,-0.737
5650.4,0.422,-0.548,-0.736
5651.49,0.419,-0.55,-0.739
5651.67,0.419,-0.55,-0.739
5651.86,0.419,-0.55,-0.739
5652.4,0.419,-0.55,-0.739
5652.22,0.417,-0.549,-0.738
5652.4,0.417,-0.549,-0.738
5652.59,0.417,-0.549,-0.738
5652.77,0.417,-0.549,-0.738
5652.95,0.417,-0.549,-0.738
5653.13,0.417,-0.549,-0.738
5653.31,0.42,-0.554,-0.733
5653.5,0.42,-0.554,-0.733
5653.68,0.42,-0.554,-0.733
5653.86,0.42,-0.554,-0.733
5654.4,0.42,-0.554,-0.733
5654.41,0.423,-0.55,-0.733
5654.59,0.423,-0.55,-0.733
5654.77,0.423,-0.55,-0.733
5654.96,0.423,-0.55,-0.733
5655.14,0.422,-0.551,-0.733
5655.32,0.422,-0.551,-0.733
5655.5,0.422,-0.551,-0.733
5655.68,0.422,-0.551,-0.733
5655.87,0.422,-0.551,-0.733
5656.5,0.423,-0.553,-0.738
5656.23,0.423,-0.553,-0.738
5656.41,0.423,-0.553,-0.738
5656.6,0.423,-0.553,-0.738
5656.78,0.423,-0.553,-0.738
5656.96,0.423,-0.553,-0.738
5657.14,0.421,-0.548,-0.736
5657.33,0.421,-0.548,-0.736
5657.51,0.421,-0.548,-0.736
5657.69,0.421,-0.548,-0.736
5657.87,0.421,-0.548,-0.736
5658.5,0.42,-0.55,-0.735
5658.24,0.42,-0.55,-0.735
5658.42,0.42,-0.55,-0.735
5658.6,0.42,-0.55,-0.735
5658.78,0.42,-0.55,-0.735
5658.97,0.425,-0.552,-0.738
5662.25,0.426,-0.547,-0.732
5662.43,0.426,-0.547,-0.732
5662.61,0.426,-0.547,-0.732
5662.79,0.424,-0.551,-0.735
5662.98,0.424,-0.551,-0.735
5663.16,0.424,-0.551,-0.735
5663.34,0.424,-0.551,-0.735
5663.52,0.424,-0.551,-0.735
5663.71,0.427,-0.552,-0.738
5663.89,0.427,-0.552,-0.738
5666.44,0.424,-0.548,-0.737
5666.62,0.423,-0.553,-0.741
5666.81,0.423,-0.553,-0.741
5666.99,0.423,-0.553,-0.741
5667.17,0.423,-0.553,-0.741
5667.35,0.423,-0.553,-0.741
5667.53,0.423,-0.553,-0.741
5667.72,0.422,-0.553,-0.737
5667.9,0.422,-0.553,-0.737
5668.8,0.422,-0.553,-0.737
5668.26,0.422,-0.553,-0.737
5668.45,0.422,-0.553,-0.737
5668.63,0.425,-0.551,-0.742
5668.81,0.425,-0.551,-0.742
5668.99,0.425,-0.551,-0.742
5669.18,0.425,-0.551,-0.742
5669.36,0.425,-0.551,-0.742
5669.54,0.424,-0.547,-0.744
5669.72,0.424,-0.547,-0.744
5669.9,0.424,-0.547,-0.744
5670.9,0.424,-0.547,-0.744
5670.27,0.424,-0.547,-0.744
5670.45,0.423,-0.549,-0.742
5670.63,0.423,-0.549,-0.742
5670.82,0.423,-0.549,-0.742
5671.0,0.423,-0.549,-0.742
5671.91,0.423,-0.545,-0.736
5672.9,0.423,-0.545,-0.736
5672.27,0.423,-0.545,-0.736
5672.46,0.418,-0.55,-0.733
5672.64,0.418,-0.55,-0.733
5672.82,0.418,-0.55,-0.733
5673.0,0.418,-0.55,-0.733
5673.19,0.418,-0.55,-0.733
5673.37,0.419,-0.547,-0.732
5673.55,0.419,-0.547,-0.732
5673.73,0.419,-0.547,-0.732
5673.91,0.419,-0.547,-0.732
5674.1,0.419,-0.547,-0.732
5674.28,0.424,-0.545,-0.739
5674.46,0.424,-0.545,-0.739
5674.64,0.424,-0.545,-0.739
5674.83,0.424,-0.545,-0.739
5675.1,0.424,-0.545,-0.739
5675.19,0.424,-0.545,-0.739
5675.37,0.425,-0.545,-0.733
5676.1,0.425,-0.545,-0.733
5676.28,0.422,-0.547,-0.739
5676.47,0.422,-0.547,-0.739
5676.65,0.422,-0.547,-0.739
5678.47,0.421,-0.548,-0.736
5679.2,0.426,-0.547,-0.732
5679.38,0.426,-0.547,-0.732
5679.57,0.426,-0.547,-0.732
5680.84,0.427,-0.546,-0.735
