timestamp,qx,qy,qz,qw
415.94,-0.061,0.026,0.006,0.997
416.13,-0.061,0.026,0.006,0.997
416.31,-0.06,0.026,0.006,0.997
416.49,-0.061,0.026,0.006,0.997
416.67,-0.06,0.026,0.006,0.997
416.85,-0.06,0.026,0.006,0.997
417.4,-0.06,0.026,0.006,0.997
417.22,-0.061,0.026,0.006,0.997
417.4,-0.06,0.026,0.006,0.997
417.58,-0.06,0.026,0.006,0.997
418.49,-0.06,0.026,0.006,0.997
419.22,-0.061,0.026,0.006,0.997
419.95,-0.061,0.026,0.006,0.997
421.4,-0.061,0.026,0.006,0.997
421.77,-0.06,0.026,0.006,0.997
422.5,-0.06,0.026,0.006,0.997
422.87,-0.06,0.026,0.006,0.997
423.78,-0.06,0.026,0.006,0.997
424.51,-0.06,0.026,0.006,0.997
424.69,-0.061,0.026,0.006,0.997
426.88,-0.061,0.026,0.006,0.997
427.6,-0.061,0.026,0.006,0.997
428.52,-0.061,0.026,0.006,0.997
429.43,-0.061,0.026,0.006,0.997
429.61,-0.061,0.026,0.006,0.997
431.8,-0.061,0.026,0.006,0.997
432.89,-0.061,0.026,0.006,0.997
433.8,-0.061,0.026,0.006,0.997
435.44,-0.061,0.026,0.006,0.997
436.17,-0.061,0.026,0.006,0.997
437.8,-0.061,0.026,0.006,0.997
437.99,-0.061,0.026,0.006,0.997
438.72,-0.061,0.026,0.006,0.997
438.9,-0.061,0.026,0.006,0.997
440.91,-0.061,0.026,0.006,0.997
441.64,-0.061,0.026,0.006,0.997
442.37,-0.061,0.026,0.006,0.997
443.9,-0.061,0.026,0.006,0.997
444.1,-0.06,0.026,0.006,0.997
444.73,-0.061,0.026,0.006,0.997
445.83,-0.061,0.026,0.006,0.997
446.56,-0.061,0.026,0.006,0.997
447.29,-0.061,0.026,0.006,0.997
447.47,-0.061,0.026,0.006,0.997
449.65,-0.061,0.026,0.006,0.997
450.57,-0.06,0.026,0.006,0.997
451.3,-0.06,0.026,0.006,0.997
452.2,-0.061,0.026,0.006,0.997
452.21,-0.06,0.026,0.006,0.997
454.21,-0.061,0.026,0.006,0.997
455.49,-0.061,0.026,0.006,0.997
456.94,-0.061,0.026,0.006,0.997
458.95,-0.061,0.026,0.006,0.997
460.59,-0.061,0.026,0.006,0.997
462.78,-0.061,0.026,0.006,0.997
464.5,-0.061,0.026,0.006,0.997
464.96,-0.061,0.026,0.006,0.997
466.42,-0.061,0.026,0.006,0.997
467.88,-0.061,0.026,0.006,0.997
469.33,-0.061,0.026,0.006,0.997
470.61,-0.061,0.026,0.006,0.997
471.34,-0.061,0.026,0.006,0.997
471.34,-0.061,0.026,0.006,0.997
472.8,-0.06,0.026,0.006,0.997
475.9,-0.061,0.026,0.006,0.997
477.9,-0.061,0.026,0.006,0.997
480.9,-0.061,0.025,0.006,0.997
480.27,-0.061,0.025,0.006,0.997
483.37,-0.061,0.026,0.006,0.997
484.64,-0.061,0.026,0.006,0.997
486.83,-0.061,0.026,0.006,0.997
487.1,-0.061,0.026,0.006,0.997
490.11,-0.061,0.026,0.006,0.997
490.29,-0.061,0.026,0.006,0.997
493.75,-0.061,0.025,0.006,0.997
494.85,-0.061,0.026,0.006,0.997
496.3,-0.061,0.026,0.006,0.997
497.94,-0.061,0.026,0.006,0.997
498.13,-0.061,0.026,0.006,0.997
502.5,-0.06,0.026,0.006,0.997
503.59,-0.061,0.026,0.006,0.997
505.42,-0.06,0.026,0.006,0.997
505.6,-0.06,0.026,0.006,0.997
508.7,-0.06,0.026,0.006,0.997
510.34,-0.061,0.026,0.006,0.997
510.52,-0.061,0.025,0.006,0.997
513.62,-0.061,0.026,0.006,0.997
514.89,-0.061,0.026,0.006,0.997
515.7,-0.06,0.026,0.006,0.997
519.81,-0.061,0.026,0.005,0.997
521.45,-0.06,0.026,0.005,0.997
523.46,-0.061,0.026,0.005,0.997
525.1,-0.06,0.026,0.005,0.997
526.92,-0.061,0.026,0.005,0.997
529.47,-0.061,0.026,0.005,0.997
532.57,-0.06,0.026,0.005,0.997
534.39,-0.061,0.026,0.005,0.997
536.3,-0.061,0.026,0.005,0.997
536.21,-0.061,0.026,0.005,0.997
539.86,-0.061,0.026,0.005,0.997
541.32,-0.06,0.026,0.005,0.997
542.59,-0.061,0.026,0.005,0.997
543.69,-0.061,0.026,0.005,0.997
545.51,-0.061,0.026,0.005,0.997
547.15,-0.06,0.026,0.005,0.997
548.79,-0.06,0.026,0.005,0.997
550.79,-0.061,0.026,0.005,0.997
553.89,-0.06,0.026,0.005,0.997
555.9,-0.061,0.026,0.005,0.997
559.91,-0.061,0.026,0.005,0.997
563.1,-0.061,0.026,0.005,0.997
564.65,-0.061,0.026,0.005,0.997
564.83,-0.06,0.026,0.005,0.997
569.2,-0.061,0.026,0.005,0.997
571.2,-0.061,0.026,0.005,0.997
572.3,-0.06,0.026,0.005,0.997
573.39,-0.061,0.026,0.005,0.997
574.67,-0.061,0.026,0.005,0.997
575.95,-0.061,0.026,0.005,0.997
577.4,-0.061,0.026,0.005,0.997
578.5,-0.061,0.026,0.005,0.997
580.14,-0.061,0.026,0.005,0.997
581.23,-0.061,0.026,0.005,0.997
581.41,-0.061,0.026,0.005,0.997
584.88,-0.06,0.026,0.005,0.997
585.97,-0.061,0.026,0.005,0.997
587.61,-0.061,0.026,0.005,0.997
588.89,-0.061,0.026,0.005,0.997
590.89,-0.061,0.026,0.005,0.997
591.98,-0.061,0.026,0.005,0.997
592.17,-0.061,0.026,0.005,0.997
595.27,-0.061,0.026,0.005,0.997
596.36,-0.061,0.026,0.005,0.997
596.54,-0.061,0.026,0.005,0.997
599.64,-0.061,0.026,0.005,0.997
602.19,-0.061,0.026,0.005,0.997
603.28,-0.061,0.026,0.005,0.997
604.93,-0.061,0.026,0.005,0.997
606.93,-0.061,0.026,0.005,0.997
