timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
416.13,-52.0,968.0,-118.0,0.419,-0.839,-0.629
416.31,-50.0,967.0,-117.0,0.49,-0.699,-0.56
416.47,-52.0,968.0,-118.0,0.419,-0.629,-0.49
416.67,-52.0,967.0,-117.0,0.49,-0.769,-0.56
416.85,-51.0,967.0,-120.0,0.419,-0.699,-0.56
417.4,-49.0,966.0,-120.0,0.91,-0.699,-0.629
417.22,-51.0,967.0,-113.0,0.14,-0.769,-0.349
417.4,-54.0,968.0,-123.0,0.56,-0.699,-0.699
417.58,-48.0,967.0,-118.0,0.56,-0.629,-0.56
418.49,-53.0,968.0,-119.0,0.56,-0.839,-0.49
419.22,-49.0,967.0,-114.0,0.28,-0.839,-0.49
419.95,-53.0,968.0,-118.0,0.49,-0.699,-0.56
421.4,-54.0,969.0,-122.0,0.56,-0.699,-0.629
421.77,-51.0,967.0,-118.0,0.49,-0.839,-0.49
422.5,-54.0,967.0,-122.0,0.49,-0.839,-0.699
422.87,-55.0,968.0,-119.0,0.419,-0.56,-0.49
423.78,-53.0,969.0,-117.0,0.419,-0.699,-0.56
424.51,-52.0,967.0,-117.0,0.349,-0.769,-0.629
424.69,-52.0,967.0,-121.0,0.419,-0.769,-0.629
426.88,-52.0,967.0,-121.0,0.419,-0.629,-0.699
427.6,-53.0,969.0,-119.0,0.349,-0.769,-0.56
428.52,-53.0,968.0,-120.0,0.419,-0.699,-0.56
429.61,-52.0,968.0,-120.0,0.56,-0.769,-0.629
431.8,-52.0,966.0,-120.0,0.349,-0.769,-0.56
432.89,-52.0,969.0,-121.0,0.629,-0.699,-0.629
433.8,-53.0,968.0,-119.0,0.419,-0.699,-0.629
435.44,-51.0,968.0,-118.0,0.349,-0.839,-0.56
436.17,-50.0,967.0,-119.0,0.419,-0.769,-0.629
437.8,-50.0,967.0,-118.0,0.349,-0.699,-0.49
437.99,-50.0,968.0,-119.0,0.349,-0.629,-0.56
438.72,-48.0,966.0,-119.0,0.28,-0.769,-0.629
438.9,-49.0,967.0,-119.0,0.49,-0.56,-0.349
440.91,-51.0,967.0,-120.0,0.56,-0.769,-0.49
441.64,-51.0,966.0,-121.0,0.49,-0.699,-0.699
442.37,-50.0,967.0,-121.0,0.49,-0.769,-0.49
443.9,-50.0,967.0,-118.0,0.419,-0.699,-0.56
444.1,-51.0,967.0,-119.0,0.49,-0.769,-0.56
444.73,-50.0,967.0,-118.0,0.349,-0.769,-0.49
445.83,-51.0,967.0,-119.0,0.56,-0.769,-0.56
446.56,-53.0,966.0,-120.0,0.419,-0.769,-0.699
447.47,-52.0,969.0,-120.0,0.56,-0.629,-0.56
449.65,-59.0,972.0,-121.0,0.419,-0.699,-0.769
450.57,-55.0,968.0,-121.0,0.91,-0.629,-0.56
451.3,-52.0,968.0,-120.0,0.56,-0.699,-0.56
452.21,-51.0,968.0,-119.0,0.49,-0.629,-0.56
454.21,-51.0,968.0,-120.0,0.419,-0.699,-0.629
455.49,-53.0,968.0,-119.0,0.349,-0.699,-0.56
456.94,-51.0,969.0,-117.0,0.419,-0.839,-0.56
458.95,-51.0,965.0,-121.0,0.699,-0.769,-0.629
460.59,-53.0,968.0,-115.0,0.28,-0.839,-0.699
462.78,-51.0,969.0,-119.0,0.49,-0.839,-0.56
464.5,-51.0,969.0,-119.0,0.419,-0.839,-0.56
464.96,-53.0,967.0,-119.0,0.49,-0.769,-0.49
466.42,-50.0,967.0,-120.0,0.49,-0.699,-0.49
467.88,-50.0,967.0,-119.0,0.419,-0.769,-0.49
469.33,-49.0,967.0,-120.0,0.49,-0.699,-0.629
470.61,-53.0,967.0,-119.0,0.419,-0.769,-0.56
471.34,-52.0,969.0,-118.0,0.49,-0.629,-0.56
472.8,-51.0,968.0,-119.0,0.56,-0.769,-0.629
475.9,-52.0,965.0,-120.0,0.419,-0.699,-0.419
477.9,-52.0,970.0,-121.0,0.629,-0.91,-0.699
480.27,-54.0,965.0,-122.0,0.419,-0.769,-0.629
483.37,-47.0,968.0,-119.0,0.49,-0.629,-0.629
484.64,-50.0,966.0,-122.0,0.49,-0.769,-0.56
486.83,-49.0,967.0,-122.0,0.56,-0.769,-0.56
487.1,-50.0,967.0,-119.0,0.419,-0.699,-0.49
487.1,-52.0,968.0,-119.0,0.56,-0.699,-0.49
490.29,-51.0,967.0,-119.0,0.419,-0.769,-0.629
493.75,-51.0,967.0,-119.0,0.419,-0.699,-0.56
494.85,-51.0,969.0,-118.0,0.49,-0.699,-0.56
496.3,-50.0,967.0,-119.0,0.419,-0.699,-0.49
497.94,-52.0,967.0,-118.0,0.419,-0.699,-0.49
498.13,-51.0,968.0,-118.0,0.419,-0.769,-0.56
502.5,-51.0,967.0,-119.0,0.419,-0.699,-0.629
503.59,-50.0,967.0,-120.0,0.49,-0.699,-0.49
505.6,-51.0,967.0,-119.0,0.56,-0.699,-0.56
508.7,-52.0,968.0,-118.0,0.419,-0.769,-0.56
510.52,-53.0,968.0,-119.0,0.349,-0.769,-0.839
513.62,-52.0,969.0,-119.0,0.419,-0.769,-0.629
514.89,-49.0,968.0,-121.0,0.419,-0.769,-0.56
515.7,-53.0,968.0,-119.0,0.91,-0.91,-0.349
519.81,-60.0,969.0,-117.0,-0.28,-0.56,-0.209
521.45,-54.0,967.0,-119.0,0.209,-0.699,-0.49
523.46,-53.0,967.0,-119.0,0.28,-0.769,-0.56
525.1,-52.0,969.0,-124.0,0.629,-0.56,-0.629
526.92,-52.0,966.0,-118.0,0.419,-0.699,-0.56
529.47,-52.0,967.0,-119.0,0.49,-0.769,-0.629
532.57,-48.0,967.0,-119.0,0.49,-0.769,-0.629
534.39,-50.0,967.0,-119.0,0.56,-0.769,-0.629
536.3,-50.0,966.0,-119.0,0.49,-0.769,-0.49
536.21,-52.0,968.0,-119.0,0.349,-0.769,-0.56
539.86,-52.0,968.0,-119.0,0.56,-0.839,-0.56
541.32,-51.0,968.0,-119.0,0.56,-0.699,-0.56
542.59,-54.0,968.0,-120.0,0.49,-0.769,-0.56
543.69,-50.0,967.0,-120.0,0.419,-0.839,-0.56
545.51,-51.0,968.0,-121.0,0.419,-0.699,-0.629
547.15,-50.0,967.0,-118.0,0.49,-0.699,-0.49
548.79,-54.0,968.0,-119.0,0.28,-0.769,-0.699
550.79,-49.0,967.0,-119.0,0.349,-0.769,-0.629
553.89,-53.0,968.0,-120.0,0.699,-0.91,-0.629
555.9,-54.0,968.0,-119.0,0.419,-0.769,-0.56
559.91,-53.0,968.0,-118.0,0.28,-0.769,-0.56
563.1,-55.0,969.0,-118.0,0.28,-0.839,-0.56
564.83,-54.0,968.0,-125.0,0.419,-0.98,-0.629
569.2,-45.0,967.0,-124.0,0.14,-0.91,-0.699
571.2,-50.0,966.0,-118.0,0.699,-0.56,-0.629
572.3,-53.0,967.0,-120.0,0.56,-0.839,-0.49
573.39,-52.0,969.0,-118.0,0.49,-0.769,-0.56
