timestamp_us,relative_time_ms,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_magnitude,gyro_magnitude
1254349244,0.0,-37.0,938.0,-275.0,0.56,-0.699,-0.91,978.1809648526187,1.2768324087365577
1254541544,192.3,-47.0,938.0,-276.0,0.49,-0.839,-0.56,978.8917202632781,1.12143702453593
1254733844,384.6,-30.0,939.0,-274.0,0.419,-0.91,-0.629,978.6199466595804,1.1829209610113434
1254926144,576.9,-41.0,937.0,-276.0,0.49,-0.699,-0.49,977.6635413065171,0.9842768919364103
1255118444,769.2,-26.0,939.0,-273.0,0.419,-0.98,-0.56,978.2259452703144,1.2039771592517858
1255310744,961.5,-62.0,936.0,-275.0,0.49,-0.349,-0.98,977.53005068898,1.149913475005837
1255503044,1153.8,-15.0,941.0,-277.0,0.14,-1.049,0.839,981.0377158906787,1.3505265639742152
1255695344,1346.1,-43.0,939.0,-271.0,0.419,-0.419,-1.47,978.2693903010561,1.5849359608514155
1255887644,1538.4,-42.0,932.0,-284.0,0.28,-0.769,0.699,975.2148481232225,1.0762722703851475
1256079944,1730.7,-19.0,942.0,-274.0,0.209,-0.91,-0.91,981.2242353305385,1.303794845825063
1256272244,1923.0,-49.0,933.0,-280.0,0.419,-0.629,-0.49,975.3409660216267,0.9007230428938742
1256464544,2115.3,-24.0,936.0,-279.0,0.419,-0.98,0.14,976.9918116340586,1.0749702321459884
1256656844,2307.6,-17.0,932.0,-274.0,0.419,-0.629,0.28,971.5909633173828,0.8059789079126078
1256849144,2499.9,-19.0,939.0,-271.0,0.349,-0.91,-0.629,977.5085677373881,1.1599749997305977
1257041444,2692.2,-54.0,934.0,-268.0,0.419,-0.56,-0.629,973.188573710152,0.940639144411926
1257233744,2884.5,-16.0,938.0,-268.0,0.349,-1.19,-0.14,975.6659264317884,1.2479987980763443
1257426044,3076.8,-31.0,934.0,-273.0,0.49,-0.629,-0.419,973.5738287361673,0.9007230428938742
1257618344,3269.1,-23.0,941.0,-273.0,0.349,-0.98,-0.56,980.0709158015046,1.1814402227789607
1257810644,3461.4,-52.0,935.0,-273.0,0.349,-0.419,-0.91,975.4270859474839,1.0608779383133575
1258002944,3653.7,-26.0,938.0,-274.0,0.28,-0.98,-0.28,977.5459068504149,1.056976820937905
1258195244,3846.0,-40.0,933.0,-274.0,0.349,-0.49,-0.14,973.2240235423702,0.6176576721777202
1258387544,4038.3,-15.0,941.0,-267.0,0.14,-0.98,-0.699,978.2612125603264,1.2118584900886735
1258579844,4230.6,-56.0,935.0,-271.0,0.209,-0.349,-0.49,975.090765006007,0.6368532012952435
1258772144,4422.9,-15.0,940.0,-267.0,0.28,-1.12,-0.349,977.2993400181953,1.206068406020156
