timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.743,-18,990,58,5670,-4270,-490
0.743,-18,991,56,140,-490,-140
0.743,-16,989,58,420,-490,-210
0.743,-17,988,58,420,-490,-140
0.743,-17,991,59,350,-490,-140
0.743,-17,994,61,210,-490,-210
0.743,-16,992,59,0,-420,-210
0.743,-18,988,58,70,-420,-210
0.743,-18,989,54,420,-490,-210
0.743,-16,990,58,490,-490,-210
0.743,-16,992,62,280,-490,-140
0.743,-18,991,62,0,-420,-210
0.743,-18,988,57,-70,-490,-210
0.743,-16,989,55,210,-490,-140
0.743,-16,992,56,280,-490,-210
0.743,-18,990,57,420,-560,-210
0.743,-18,991,62,350,-490,-210
0.743,-17,991,61,0,-490,-210
0.743,-16,988,57,-140,-420,-140
0.924,-17,989,54,210,-490,-210
0.924,-17,992,57,490,-490,-210
0.924,-18,991,63,350,-420,-210
0.924,-17,988,62,140,-490,-210
0.924,-17,990,57,0,-420,-210
0.924,-17,990,55,70,-420,-140
0.924,-16,990,56,280,-490,-210
0.924,-17,990,58,280,-420,-210
0.924,-17,992,61,350,-420,-210
0.924,-17,991,60,140,-490,-140
0.924,-16,990,57,70,-490,-140
0.924,-17,989,55,210,-420,-140
0.924,-17,990,57,280,-490,-140
0.924,-17,991,60,210,-420,-210
0.924,-18,990,59,210,-420,-210
0.924,-17,991,58,210,-420,-210
0.924,-17,991,59,210,-490,-210
0.924,-18,990,57,140,-490,-140
0.924,-17,990,57,280,-490,-210
0.924,-17,990,59,350,-490,-210
1.105,-17,991,58,280,-490,-210
1.105,-17,991,60,210,-490,-210
1.105,-17,990,60,70,-490,-210
1.105,-17,990,58,140,-490,-210
1.105,-17,991,59,280,-420,-210
1.105,-16,990,58,280,-420,-140
1.105,-15,989,61,350,-350,-210
1.105,-19,990,56,210,-350,-210
1.105,-16,991,59,210,-420,-210
1.105,-17,992,59,210,-420,-210
1.105,-16,990,58,280,-420,-140
1.105,-17,990,60,280,-420,-210
1.105,-18,990,56,210,-420,-280
1.105,-17,990,60,210,-420,-140
1.105,-19,990,58,210,-420,-210
1.105,-17,990,61,210,-420,-140
1.105,-17,990,58,140,-420,-140
1.105,-18,990,57,140,-490,-210
1.105,-17,991,59,350,-490,-210
1.105,-17,992,61,280,-490,-210
1.287,-17,989,60,210,-490,-140
1.287,-16,988,59,140,-420,-280
1.287,-17,991,57,140,-490,-210
1.287,-17,992,59,280,-560,-140
1.287,-18,989,59,350,-420,-140
1.287,-17,989,58,210,-420,-210
1.287,-17,991,60,140,-420,-210
1.287,-18,991,58,140,-420,-140
1.287,-17,990,57,210,-420,-140
1.287,-18,989,59,280,-420,-210
1.287,-17,990,59,280,-420,-210
1.287,-17,990,58,280,-490,-210
1.287,-17,991,58,210,-420,-210
1.287,-18,992,60,280,-490,-210
1.287,-17,990,60,210,-490,-210
1.287,-17,989,57,210,-490,-210
1.287,-17,990,59,280,-490,-210
1.287,-18,991,58,350,-490,-210
1.287,-17,990,61,210,-490,-140
1.287,-17,989,58,70,-420,-210
1.468,-18,989,58,70,-490,-210
1.468,-17,992,54,350,-560,-280
1.468,-17,992,60,420,-490,-210
1.468,-17,992,60,280,-560,-210
1.468,-17,989,61,140,-560,-210
1.468,-18,988,58,0,-560,-140
1.468,-17,990,56,280,-490,-210
1.468,-17,989,57,350,-560,-210
1.468,-18,990,60,420,-560,-140
1.468,-16,991,63,140,-560,-140
1.468,-17,992,59,0,-490,-210
1.468,-17,992,58,140,-490,-210
1.468,-16,991,58,210,-490,-210
1.468,-17,990,60,420,-490,-140
1.468,-18,989,60,280,-420,-140
1.468,-17,990,60,140,-420,-140
1.468,-17,989,59,70,-420,-210
1.468,-18,989,59,210,-490,-210
1.468,-17,991,60,210,-420,-210
1.468,-17,991,58,350,-420,-210
1.649,-16,993,61,350,-490,-210
1.649,-22,992,66,210,-420,-210
1.649,-14,986,54,140,-560,-140
1.649,-18,990,62,210,-490,-210
1.649,-21,991,53,280,-490,-210
1.649,-14,989,59,420,-490,-210
1.649,-17,989,59,350,-420,-140
1.649,-16,993,63,210,-350,-210
1.649,-17,993,59,0,-420,-210
1.649,-16,989,60,70,-420,-210
1.649,-18,989,57,210,-490,-210
1.649,-16,990,58,350,-490,-210
1.649,-18,989,60,420,-420,-210
1.649,-16,990,60,280,-490,-210
1.649,-17,990,60,140,-490,-210
1.649,-16,993,58,70,-420,-280
1.649,-17,993,59,140,-420,-140
1.649,-17,990,59,210,-420,-210
1.649,-19,992,60,210,-420,-210
1.649,-15,986,63,280,-350,-210
1.831,-14,991,58,0,-490,-210
1.831,-22,989,60,210,-350,-140
1.831,-15,992,58,140,-350,-140
1.831,-16,991,62,280,-350,-140
1.831,-17,990,60,280,-420,-140
1.831,-18,992,58,350,-350,-140
1.831,-18,991,61,210,-420,-140
1.831,-18,991,56,140,-420,-210
1.831,-16,991,60,210,-420,-210
1.831,-18,988,56,140,-490,-210
1.831,-17,989,61,280,-560,-210
1.831,-20,993,57,280,-560,-210
1.831,-14,991,64,280,-490,-280
1.831,-16,991,58,140,-490,-210
1.831,-21,989,61,140,-350,-210
1.831,-11,990,58,210,-420,-140
1.831,-19,988,59,490,-420,-210
1.831,-17,990,57,350,-420,-140
1.831,-15,991,63,210,-420,-140
1.831,-20,991,58,70,-490,-140
2.12,-17,992,59,140,-490,-140
2.12,-18,992,59,140,-490,-140
2.12,-18,991,59,350,-490,-140
2.12,-18,988,60,350,-490,-140
2.12,-17,988,58,280,-420,-210
2.12,-18,990,58,210,-420,-140
2.12,-17,990,58,210,-420,-140
2.12,-17,990,58,280,-420,-210
2.12,-17,993,60,210,-420,-140
2.12,-18,992,59,210,-490,-140
2.12,-17,990,60,210,-490,-140
2.12,-17,990,58,210,-490,-210
2.12,-17,989,58,280,-420,-210
2.12,-17,989,58,280,-420,-210
2.12,-17,989,61,210,-490,-210
2.12,-17,991,60,140,-490,-210
2.12,-17,992,60,140,-490,-210
2.12,-17,991,60,210,-560,-210
2.12,-17,991,60,210,-560,-140
2.12,-17,991,60,280,-490,-70
2.193,-18,989,59,280,-490,-140
2.193,-17,989,58,210,-490,-140
2.193,-18,990,60,210,-490,-210
2.193,-17,990,60,280,-420,-210
2.193,-17,991,61,210,-420,-210
2.193,-17,992,60,210,-490,-210
2.193,-17,992,60,280,-560,-210
2.193,-17,991,60,280,-560,-210
2.193,-17,990,59,210,-490,-140
2.193,-18,989,58,210,-420,-140
2.193,-18,990,59,210,-420,-140
2.193,-17,990,59,280,-490,-140
2.193,-17,992,60,210,-420,-210
2.193,-18,992,59,210,-420,-280
2.193,-17,991,60,280,-490,-210
2.193,-17,991,59,210,-420,-280
2.193,-16,990,58,280,-490,-210
2.193,-17,989,59,280,-560,-140
2.193,-18,989,61,280,-490,-210
2.193,-17,990,59,140,-490,-210
2.374,-17,991,61,140,-420,-210
2.374,-17,991,59,140,-490,-210
2.374,-18,991,60,210,-490,-140
2.374,-17,991,60,210,-420,-140
2.374,-17,990,60,280,-420,-140
2.374,-17,988,58,210,-420,-140
2.374,-18,989,59,210,-420,-140
2.374,-17,990,58,210,-420,-140
2.374,-16,990,59,210,-420,-210
2.374,-17,992,59,210,-490,-210
2.374,-17,993,60,210,-490,-210
2.374,-16,991,61,210,-490,-140
2.374,-16,990,60,210,-490,-140
2.374,-17,990,59,140,-420,-140
2.374,-17,989,59,210,-420,-140
