timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.743,89,948,-219,54600,-75390,83230
0.743,89,947,-219,1960,-4480,-1540
0.743,90,946,-220,280,-840,-560
0.743,88,947,-221,280,-770,-630
0.743,89,946,-221,350,-770,-630
0.743,89,947,-221,350,-770,-630
0.743,89,947,-222,350,-770,-630
0.743,89,947,-221,350,-770,-630
0.743,89,947,-221,280,-770,-630
0.743,89,947,-221,280,-770,-560
0.743,89,947,-221,420,-700,-630
0.743,89,947,-221,420,-770,-560
0.743,89,947,-221,420,-700,-490
0.743,89,947,-222,350,-770,-560
0.743,89,947,-222,420,-770,-560
0.743,89,947,-222,350,-770,-630
0.743,88,946,-222,350,-770,-630
0.743,89,946,-221,420,-770,-630
0.743,89,947,-222,420,-840,-630
0.743,89,947,-221,350,-770,-630
0.925,90,947,-222,420,-770,-560
0.925,89,947,-223,350,-770,-560
0.925,88,947,-221,420,-840,-630
0.925,88,947,-222,420,-700,-630
0.925,89,946,-222,420,-770,-560
0.925,89,947,-221,350,-770,-490
0.925,88,947,-222,420,-700,-560
0.925,89,947,-221,420,-770,-560
0.925,88,947,-221,350,-840,-560
0.925,89,946,-222,350,-700,-560
0.925,89,947,-222,350,-700,-560
0.925,89,948,-220,350,-700,-630
0.925,87,947,-221,350,-700,-560
0.925,89,947,-221,350,-770,-490
0.925,89,946,-220,350,-770,-560
0.925,89,948,-220,350,-770,-560
0.925,89,947,-221,350,-840,-560
0.925,89,947,-220,350,-770,-630
0.925,88,947,-220,350,-770,-630
0.925,89,947,-220,420,-770,-560
1.107,89,947,-220,420,-770,-560
1.107,89,947,-219,350,-770,-560
1.107,88,947,-220,350,-840,-630
1.107,88,947,-220,350,-770,-560
1.107,88,947,-219,420,-840,-560
1.107,89,946,-220,420,-770,-560
1.107,88,947,-220,420,-770,-630
1.107,88,948,-220,280,-700,-630
1.107,89,947,-219,350,-770,-630
1.107,89,947,-220,350,-770,-560
1.107,89,948,-220,350,-770,-560
1.107,89,948,-220,350,-770,-560
1.107,89,946,-219,350,-770,-630
1.107,89,947,-220,350,-770,-630
1.107,87,947,-220,420,-840,-630
1.107,88,947,-219,420,-770,-560
1.107,89,947,-219,420,-700,-560
1.107,89,946,-220,350,-770,-560
1.107,90,947,-219,350,-840,-630
1.107,89,948,-219,420,-840,-630
1.289,88,947,-219,280,-840,-630
1.289,88,947,-219,350,-840,-630
1.289,88,947,-219,350,-770,-490
1.289,88,948,-219,420,-700,-490
1.289,89,947,-219,420,-770,-560
1.289,88,947,-220,420,-770,-560
1.289,89,947,-219,420,-770,-560
1.289,88,947,-220,350,-770,-560
1.289,88,946,-219,420,-770,-630
1.289,88,947,-219,350,-840,-560
1.289,88,947,-219,350,-770,-560
1.289,89,948,-220,350,-770,-560
1.289,90,947,-219,420,-770,-630
1.289,89,947,-220,420,-770,-630
1.289,88,947,-219,350,-770,-560
1.289,87,947,-219,350,-700,-560
1.289,87,947,-220,280,-770,-560
1.289,89,947,-219,350,-770,-560
1.289,89,947,-219,420,-840,-630
1.289,91,947,-219,350,-840,-630
1.471,89,947,-219,350,-840,-560
1.471,88,948,-219,350,-770,-560
1.471,88,947,-219,350,-840,-560
1.471,88,947,-219,420,-910,-560
1.471,89,947,-219,350,-770,-560
1.471,90,947,-220,420,-770,-560
1.471,88,947,-219,350,-700,-560
1.471,90,947,-219,350,-770,-560
1.471,88,947,-220,280,-770,-630
1.471,89,947,-218,420,-770,-560
1.471,89,947,-219,490,-770,-560
1.471,88,946,-219,350,-840,-560
1.471,89,948,-219,350,-700,-490
1.471,88,948,-218,350,-700,-630
1.471,88,947,-218,420,-770,-560
1.471,88,946,-219,420,-700,-630
1.471,89,947,-220,350,-770,-560
1.471,90,947,-218,350,-770,-560
1.471,89,947,-218,420,-770,-630
1.471,88,947,-219,490,-770,-560
1.653,88,947,-218,420,-770,-630
1.653,88,948,-218,420,-770,-560
1.653,89,947,-218,420,-770,-630
1.653,89,947,-219,350,-770,-560
1.653,89,947,-218,420,-770,-560
1.653,89,948,-218,420,-770,-630
1.653,89,947,-218,420,-770,-630
1.653,88,947,-219,420,-770,-630
1.653,90,947,-218,350,-770,-560
1.653,90,947,-218,420,-770,-630
1.653,89,947,-218,420,-770,-560
1.653,89,947,-218,420,-770,-490
1.653,88,946,-219,420,-770,-560
1.653,88,947,-218,350,-840,-630
1.653,89,947,-218,350,-770,-630
1.653,89,947,-218,350,-770,-560
1.653,90,947,-218,420,-770,-560
1.653,89,947,-218,490,-770,-630
1.653,88,948,-218,420,-770,-630
1.653,89,947,-217,350,-770,-560
1.834,87,946,-218,350,-840,-560
1.834,88,947,-217,350,-770,-560
1.834,88,946,-218,350,-770,-630
1.834,88,946,-218,420,-770,-630
1.834,90,947,-218,350,-700,-630
1.834,88,947,-218,420,-840,-630
1.834,88,948,-218,420,-840,-560
1.834,89,947,-218,350,-770,-560
1.834,89,946,-218,420,-770,-560
1.834,90,947,-218,350,-770,-560
1.834,89,947,-218,420,-700,-560
1.834,89,947,-218,420,-700,-630
1.834,90,947,-217,350,-700,-560
1.834,88,947,-219,350,-840,-560
1.834,88,947,-219,350,-770,-560
1.834,88,947,-218,420,-700,-490
1.834,89,947,-218,350,-770,-490
1.834,89,948,-219,350,-770,-560
1.834,89,947,-217,350,-770,-630
1.834,90,947,-217,350,-770,-560
2.16,89,947,-218,350,-840,-560
2.16,89,947,-218,420,-840,-630
2.16,88,947,-218,420,-840,-630
2.16,87,946,-218,350,-770,-560
2.16,89,947,-219,350,-770,-560
2.16,88,947,-218,350,-700,-560
